prov_name_fr_1,Census_subdivision,prov_name_fr_2,Electoral_district,area,prov_name_fr,total_tract_area,tract_percent
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Nova-Centre,3879621101.0926657,Nouvelle-Écosse,7628150949.381865,0.5085925969263947
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,South Shore--St. Margarets,770574665.5483029,Nouvelle-Écosse,7628150949.381865,0.10101722824595458
Nouvelle-Écosse,Indian Brook 14,Nouvelle-Écosse,Kings--Hants,5704632.91218512,Nouvelle-Écosse,5704632.91218512,1.0
Nouvelle-Écosse,"Inverness, Subd. A",Nouvelle-Écosse,Sydney--Victoria,628058453.7821647,Nouvelle-Écosse,2386876345.376878,0.2631298663622212
Nouvelle-Écosse,"Inverness, Subd. A",Nouvelle-Écosse,Cape Breton--Canso,1441113930.9214756,Nouvelle-Écosse,2386876345.376878,0.6037656427878042
Nouvelle-Écosse,"Inverness, Subd. B",Nouvelle-Écosse,Cape Breton--Canso,796933341.342437,Nouvelle-Écosse,909503437.3388033,0.8762290593142286
Nouvelle-Écosse,"Inverness, Subd. C",Nouvelle-Écosse,Cape Breton--Canso,1059692814.4122235,Nouvelle-Écosse,1331235464.7993693,0.7960220730537177
Nouvelle-Écosse,Kentville,Nouvelle-Écosse,Kings--Hants,14233840.674567368,Nouvelle-Écosse,14233840.674567368,1.0
Nouvelle-Écosse,"Kings, Subd. A",Nouvelle-Écosse,Nova-Ouest,1063010148.2107414,Nouvelle-Écosse,1385380302.093306,0.7673056608387862
Nouvelle-Écosse,"Kings, Subd. A",Nouvelle-Écosse,South Shore--St. Margarets,502699.31197870505,Nouvelle-Écosse,1385380302.093306,0.0003628601555970788
Nouvelle-Écosse,"Kings, Subd. A",Nouvelle-Écosse,Kings--Hants,206518465.0747323,Nouvelle-Écosse,1385380302.093306,0.14906987255606524
Nouvelle-Écosse,"Kings, Subd. B",Nouvelle-Écosse,Kings--Hants,340070729.02736706,Nouvelle-Écosse,753656613.7783246,0.45122768487691284
Nouvelle-Écosse,"Kings, Subd. C",Nouvelle-Écosse,South Shore--St. Margarets,2270168.8343601692,Nouvelle-Écosse,282011194.4906154,0.00804992453743078
Nouvelle-Écosse,"Kings, Subd. C",Nouvelle-Écosse,Nova-Ouest,15840590.111525903,Nouvelle-Écosse,282011194.4906154,0.0561700755891555
Nouvelle-Écosse,"Kings, Subd. C",Nouvelle-Écosse,Kings--Hants,263900435.54473075,Nouvelle-Écosse,282011194.4906154,0.9357799998734186
Nouvelle-Écosse,"Kings, Subd. D",Nouvelle-Écosse,Kings--Hants,285519460.5179573,Nouvelle-Écosse,338910508.7244632,0.8424626949236524
Nouvelle-Écosse,Lockeport,Nouvelle-Écosse,South Shore--St. Margarets,1821701.6000426968,Nouvelle-Écosse,2083770.840437802,0.8742331760722575
Nouvelle-Écosse,Lunenburg,Nouvelle-Écosse,South Shore--St. Margarets,272076.61809928593,Nouvelle-Écosse,2451728122.963191,0.0001109734050651793
Nouvelle-Écosse,Lunenburg,Nouvelle-Écosse,South Shore--St. Margarets,1858371307.7659554,Nouvelle-Écosse,2451728122.963191,0.757984252152683
Nouvelle-Écosse,Lunenburg,Nouvelle-Écosse,South Shore--St. Margarets,272076.61809928593,Nouvelle-Écosse,2364946.3985852846,0.1150455749280587
Nouvelle-Écosse,Lunenburg,Nouvelle-Écosse,South Shore--St. Margarets,1858371307.7659554,Nouvelle-Écosse,2364946.3985852846,785.7984895038791
Nouvelle-Écosse,Mahone Bay,Nouvelle-Écosse,South Shore--St. Margarets,2193550.9730811254,Nouvelle-Écosse,2193550.9730811254,1.0
Nouvelle-Écosse,Malagawatch 4,Nouvelle-Écosse,Cape Breton--Canso,1250442.870379386,Nouvelle-Écosse,2771002.9567331173,0.4512600274716414
Nouvelle-Écosse,Medway River 11,Nouvelle-Écosse,South Shore--St. Margarets,35305.36397111754,Nouvelle-Écosse,35305.36397111754,1.0
Nouvelle-Écosse,Membertou 28B,Nouvelle-Écosse,Sydney--Victoria,741454.1165685816,Nouvelle-Écosse,813866.6909584942,0.9110264921830968
Nouvelle-Écosse,Membertou 28B,Nouvelle-Écosse,Cape Breton--Canso,72412.57438970075,Nouvelle-Écosse,813866.6909584942,0.08897350781664275
Nouvelle-Écosse,Middleton,Nouvelle-Écosse,Nova-Ouest,3036811.119941405,Nouvelle-Écosse,3036811.119941405,1.0
Nouvelle-Écosse,Millbrook 27,Nouvelle-Écosse,Cumberland--Colchester,2246354.692549424,Nouvelle-Écosse,2246354.692549424,1.0
Nouvelle-Écosse,Mulgrave,Nouvelle-Écosse,Cape Breton--Canso,16272966.293900594,Nouvelle-Écosse,16272966.293900594,1.0
Nouvelle-Écosse,New Glasgow,Nouvelle-Écosse,Nova-Centre,5441185.349521603,Nouvelle-Écosse,5441185.349521603,1.0
Nouvelle-Écosse,New Ross 20,Nouvelle-Écosse,South Shore--St. Margarets,4043470.913758843,Nouvelle-Écosse,4043470.9137588437,0.9999999999999999
Nouvelle-Écosse,Oxford,Nouvelle-Écosse,Cumberland--Colchester,2957388.6297642007,Nouvelle-Écosse,2957388.629764201,0.9999999999999999
Nouvelle-Écosse,Paqtnkek-Niktuek No. 23,Nouvelle-Écosse,Cape Breton--Canso,424442.50707916607,Nouvelle-Écosse,424442.50707916607,1.0
Nouvelle-Écosse,Pennal 19,Nouvelle-Écosse,South Shore--St. Margarets,227331.91043943202,Nouvelle-Écosse,227331.91043943202,1.0
Nouvelle-Écosse,Pictou,Nouvelle-Écosse,Nova-Centre,6694090.692434463,Nouvelle-Écosse,6694090.692434463,1.0
Nouvelle-Écosse,"Pictou, Subd. A",Nouvelle-Écosse,Cumberland--Colchester,1558752.6304681606,Nouvelle-Écosse,1723224507.9234993,0.000904555746103258
Nouvelle-Écosse,"Pictou, Subd. A",Nouvelle-Écosse,Nova-Centre,758102617.5525292,Nouvelle-Écosse,1723224507.9234993,0.43993258804451985
Nouvelle-Écosse,"Pictou, Subd. B",Nouvelle-Écosse,Nova-Centre,797110742.4401219,Nouvelle-Écosse,797110742.4401218,1.0000000000000002
Nouvelle-Écosse,"Pictou, Subd. C",Nouvelle-Écosse,Nova-Centre,1291485718.9571755,Nouvelle-Écosse,1415925259.977264,0.9121143293805729
Nouvelle-Écosse,Ponhook Lake 10,Nouvelle-Écosse,South Shore--St. Margarets,1078511.0997312341,Nouvelle-Écosse,1078511.0997312341,1.0
Nouvelle-Écosse,Port Hawkesbury,Nouvelle-Écosse,Cape Breton--Canso,7598512.086249276,Nouvelle-Écosse,7598512.086249275,1.0000000000000002
Nouvelle-Écosse,Queens,Nouvelle-Écosse,Nova-Ouest,201356.28288919697,Nouvelle-Écosse,3188822858.982109,6.31443927096882e-05
Nouvelle-Écosse,Queens,Nouvelle-Écosse,South Shore--St. Margarets,2794013337.828659,Nouvelle-Écosse,3188822858.982109,0.876189572574917
Nouvelle-Écosse,"Richmond, Subd. A",Nouvelle-Écosse,Cape Breton--Canso,510435626.0010489,Nouvelle-Écosse,713853123.4214047,0.7150429258537074
Nouvelle-Écosse,"Richmond, Subd. B",Nouvelle-Écosse,Cape Breton--Canso,682094381.3283222,Nouvelle-Écosse,1261160426.9509275,0.5408466415152295
Nouvelle-Écosse,"Richmond, Subd. C",Nouvelle-Écosse,Cape Breton--Canso,92446404.0289544,Nouvelle-Écosse,478660996.17298967,0.19313544401588126
Nouvelle-Écosse,Sheet Harbour 36,Nouvelle-Écosse,Nova-Centre,310707.1455135563,Nouvelle-Écosse,310707.1455135561,1.0000000000000007
Nouvelle-Écosse,Shelburne,Nouvelle-Écosse,South Shore--St. Margarets,1966230689.436714,Nouvelle-Écosse,2368698386.356053,0.8300890906003084
Nouvelle-Écosse,Shelburne,Nouvelle-Écosse,South Shore--St. Margarets,1966230689.436714,Nouvelle-Écosse,8409211.532449272,233.81867394457475
Nouvelle-Écosse,Shelburne,Nouvelle-Écosse,Nova-Ouest,5080.402849240535,Nouvelle-Écosse,2368698386.356053,2.1448078313829147e-06
Nouvelle-Écosse,Shelburne,Nouvelle-Écosse,South Shore--St. Margarets,8409211.532449272,Nouvelle-Écosse,8409211.532449272,1.0
Nouvelle-Écosse,Shelburne,Nouvelle-Écosse,Nova-Ouest,5080.402849240535,Nouvelle-Écosse,8409211.532449272,0.0006041473483734348
Nouvelle-Écosse,Shelburne,Nouvelle-Écosse,South Shore--St. Margarets,8409211.532449272,Nouvelle-Écosse,2368698386.356053,0.003550140271504045
Nouvelle-Écosse,St. Mary's,Nouvelle-Écosse,Nova-Centre,1974784238.82187,Nouvelle-Écosse,2342582358.491543,0.8429945831631257
Nouvelle-Écosse,St. Mary's,Nouvelle-Écosse,Cape Breton--Canso,8073659.258536363,Nouvelle-Écosse,2342582358.491543,0.003446478297452572
Nouvelle-Écosse,Stellarton,Nouvelle-Écosse,Nova-Centre,8899304.885708705,Nouvelle-Écosse,8899304.885708705,1.0
Nouvelle-Écosse,Stewiacke,Nouvelle-Écosse,Cumberland--Colchester,13044434.82866828,Nouvelle-Écosse,13044434.82866828,1.0
Nouvelle-Écosse,Trenton,Nouvelle-Écosse,Nova-Centre,1159053.5737965268,Nouvelle-Écosse,1159053.5737965265,1.0000000000000002
Nouvelle-Écosse,Truro,Nouvelle-Écosse,Cumberland--Colchester,40697890.39977645,Nouvelle-Écosse,40697890.39977645,1.0
Nouvelle-Écosse,"Victoria, Subd. A",Nouvelle-Écosse,Cape Breton--Canso,188682.4816939288,Nouvelle-Écosse,2489946998.53948,7.577771004949247e-05
Nouvelle-Écosse,"Victoria, Subd. A",Nouvelle-Écosse,Sydney--Victoria,1650226440.7661939,Nouvelle-Écosse,2489946998.53948,0.6627556497122877
Nouvelle-Écosse,"Victoria, Subd. B",Nouvelle-Écosse,Sydney--Victoria,1187532020.5916934,Nouvelle-Écosse,1658601010.847224,0.7159841413487952
Nouvelle-Écosse,"Victoria, Subd. B",Nouvelle-Écosse,Cape Breton--Canso,1957288.5962192994,Nouvelle-Écosse,1658601010.847224,0.001180084048796946
Nouvelle-Écosse,Wagmatcook 1,Nouvelle-Écosse,Sydney--Victoria,1309544.19693201,Nouvelle-Écosse,1309544.19693201,1.0
Nouvelle-Écosse,Wallace Hills 14A,Nouvelle-Écosse,Halifax-Ouest,356324.7238322492,Nouvelle-Écosse,356324.72383224923,0.9999999999999999
Nouvelle-Écosse,West Hants,Nouvelle-Écosse,Kings--Hants,1329135886.0368688,Nouvelle-Écosse,1572535509.605652,0.8452183609959809
Nouvelle-Écosse,West Hants,Nouvelle-Écosse,South Shore--St. Margarets,130830.17195127992,Nouvelle-Écosse,1572535509.605652,8.319695876634828e-05
Nouvelle-Écosse,Westville,Nouvelle-Écosse,Nova-Centre,11130964.89798835,Nouvelle-Écosse,11130964.89798835,1.0
Nouvelle-Écosse,Whycocomagh 2,Nouvelle-Écosse,Cape Breton--Canso,5981287.382813868,Nouvelle-Écosse,5981287.382813867,1.0000000000000002
Nouvelle-Écosse,Wildcat 12,Nouvelle-Écosse,South Shore--St. Margarets,4157910.8529743375,Nouvelle-Écosse,4157910.8529743375,1.0
Nouvelle-Écosse,Wolfville,Nouvelle-Écosse,Kings--Hants,3865128.9593037213,Nouvelle-Écosse,3865128.959303722,0.9999999999999999
Nouvelle-Écosse,Yarmouth,Nouvelle-Écosse,Nova-Ouest,8992898.898992047,Nouvelle-Écosse,8992898.898992045,1.0000000000000002
Nouvelle-Écosse,Yarmouth,Nouvelle-Écosse,Nova-Ouest,8992898.898992047,Nouvelle-Écosse,948571355.750271,0.009480466434577426
Nouvelle-Écosse,Yarmouth,Nouvelle-Écosse,Nova-Ouest,669626345.0616055,Nouvelle-Écosse,8992898.898992045,74.46167832896015
Nouvelle-Écosse,Yarmouth,Nouvelle-Écosse,Nova-Ouest,669626345.0616055,Nouvelle-Écosse,948571355.750271,0.7059314420600078
Nouvelle-Écosse,Yarmouth 33,Nouvelle-Écosse,Nova-Ouest,344427.86747477035,Nouvelle-Écosse,344427.86747477035,1.0
